"","UniqueSequenceName","Diamond_Hit","Diamond_Percentage_Identity","Diamond_length","Diamond_E_value","Diamond_BitScore","Diamond_qframe"
"1146","OB1_PD_TRINITY_DN10406_c0_g1_i1.p1","XP_052821513.1",100,743,0,1503,0
"1147","OB1_PD_TRINITY_DN1592_c1_g1_i2.p1","XP_014767871.1",100,831,0,1704,0
"1148","OB1_PD_TRINITY_DN1574_c6_g1_i1.p1","XP_014770566.1",99.9,1707,0,3333,0
"1149","OB1_PD_TRINITY_DN8321_c0_g1_i1.p1","XP_029637609.1",99.4,175,1.46e-115,335,0
"1150","OB1_PD_TRINITY_DN1998_c0_g1_i2.p1","XP_014770290.2",100,448,3.02e-283,786,0
"1151","OB1_PD_TRINITY_DN3014_c0_g1_i2.p1","XP_029647744.1",60.3,380,1.09e-142,419,0
"1152","OB1_PD_TRINITY_DN11149_c0_g1_i1.p1","XP_052826203.1",100,480,0,986,0
"1153","OB1_PD_TRINITY_DN2458_c0_g1_i10.p1","XP_052830143.1",97.2,709,0,1395,0
"1154","OB1_PD_TRINITY_DN291_c2_g5_i1.p1","XP_052830861.1",89.8,1483,1.74e-159,538,0
"1155","OB1_PD_TRINITY_DN525_c3_g3_i1.p1","XP_052830603.1",100,690,1.17e-160,545,0
"1156","OB1_PD_TRINITY_DN61_c0_g1_i3.p1","XP_014791055.1",100,127,1.35e-81,246,0
"1157","OB1_PD_TRINITY_DN13991_c0_g1_i4.p1","XP_014771914.1",98.5,399,7.82e-289,819,0
"1158","OB3_PD_TRINITY_DN217_c0_g1_i1.p1","XP_014779244.1",98.7,371,4.66e-238,661,0
"1159","OB1_PD_TRINITY_DN871_c3_g1_i2.p1","XP_014777908.1",100,301,1.47e-241,664,0
"1160","OB1_PD_TRINITY_DN7460_c1_g1_i1.p1","XP_014769053.1",100,186,1.51e-145,412,0
"1161","OB1_PD_TRINITY_DN354_c16_g1_i1.p1","XP_029653036.1",82.8,261,2.64e-167,473,0
"1162","OB1_PD_TRINITY_DN6958_c0_g1_i1.p1","XP_052828138.1",100,345,1.45e-252,696,0
"1163","OB1_PD_TRINITY_DN4618_c0_g1_i4.p1","XP_029648127.1",94.1,683,0,1332,0
"1164","OB1_PD_TRINITY_DN34978_c0_g1_i1.p1","XP_014771153.1",100,158,1.29e-112,327,0
"1165","OB1_PD_TRINITY_DN5059_c1_g1_i4.p1","XP_014779364.1",100,379,1.04e-285,783,0
"1166","OB1_PD_TRINITY_DN1325_c0_g1_i1.p1","XP_052825725.1",100,399,7.78e-298,815,0
"1167","OB1_PD_TRINITY_DN177_c6_g1_i1.p1","XP_029646973.1",93.7,917,0,1749,0
"1168","OB1_PD_TRINITY_DN1583_c0_g2_i1.p1","XP_014779148.1",100,525,0,1018,0
"1169","OB2_PD_TRINITY_DN8925_c0_g1_i1.p1","XP_014775641.1",100,152,1.11e-111,327,0
"1170","OB2_PD_TRINITY_DN2571_c0_g1_i1.p1","XP_014775644.1",100,152,1.12e-110,321,0
"1171","OB1_PD_TRINITY_DN12312_c0_g1_i2.p1","XP_014786938.1",100,579,0,945,0
"1172","OB1_PD_TRINITY_DN2578_c0_g1_i2.p1","XP_014775432.1",100,411,3.28000000025702e-314,857,0
"1173","OB1_PD_TRINITY_DN11234_c3_g1_i1.p1","XP_052826943.1",100,506,0,1083,0
"1174","OB1_PD_TRINITY_DN12312_c0_g1_i1.p1","XP_014786940.1",100,544,0,897,0
"1175","OB1_PD_TRINITY_DN38604_c0_g1_i1.p1","XP_014777540.2",100,145,3.37e-86,259,0
"1176","OB2_PD_TRINITY_DN9638_c0_g1_i1.p1","XP_014778328.1",100,465,0,987,0
"1177","OB3_PD_TRINITY_DN1254_c0_g2_i1.p1","XP_029638389.1",85.2,155,2.06e-99,293,0
"1178","OB1_PD_TRINITY_DN386_c1_g1_i1.p1","XP_029634523.1",95.4,414,1.12e-281,775,0
"1179","OB1_PD_TRINITY_DN55_c3_g1_i2.p1","XP_052822230.1",99.8,566,0,1192,0
"1180","OB1_PD_TRINITY_DN3700_c0_g1_i1.p1","XP_029637263.1",49,143,1.34e-47,162,0
"1181","OB1_PD_TRINITY_DN5599_c1_g1_i1.p1","XP_014777225.1",100,154,4.72e-113,327,0
"1182","OB1_PD_TRINITY_DN3282_c0_g1_i2.p1","XP_052832794.1",55.6,818,1.94e-260,744,0
"1183","OB1_PD_TRINITY_DN1652_c2_g3_i1.p1","XP_014774895.1",99.8,491,0,1009,0
"1184","OB1_PD_TRINITY_DN33859_c0_g1_i1.p1","CAI9740581.1",81.3,315,2.72e-180,511,0
"1185","OB1_PD_TRINITY_DN29266_c0_g1_i1.p1","CAI9735219.1",98.1,516,0,1042,0
"1186","OB1_PD_TRINITY_DN752_c1_g1_i1.p1","XP_014774813.1",100,569,0,1166,0
"1187","OB1_PD_TRINITY_DN42950_c0_g1_i1.p1","XP_014783233.1",97.3,479,0,952,0
"1188","OB1_PD_TRINITY_DN24741_c0_g1_i1.p1","XP_029656065.1",95.7,644,0,1291,0
"1189","OB1_PD_TRINITY_DN35_c2_g1_i4.p1","XP_014775579.1",100,811,0,1231,0
"1190","OB1_PD_TRINITY_DN3066_c0_g1_i2.p1","CAI9729327.1",96,398,3.15e-292,801,0
"1191","OB1_PD_TRINITY_DN1200_c1_g1_i1.p1","CAI9739981.1",90.8,552,0,1063,0
"1192","OB1_PD_TRINITY_DN2180_c0_g2_i1.p1","CAI9744262.1",89.4,568,0,1067,0
"1193","OB1_PD_TRINITY_DN14032_c0_g1_i1.p1","XP_014779876.1",100,471,0,998,0
"1194","OB1_PD_TRINITY_DN930_c0_g1_i1.p1","CAI9719585.1",65,517,9.01e-231,652,0
"1195","OB1_PD_TRINITY_DN4937_c0_g1_i2.p1","XP_014790571.1",100,398,1.05e-290,797,0
"1196","OB1_PD_TRINITY_DN7934_c0_g1_i1.p1","XP_014775333.1",100,805,0,1595,0
"1197","OB1_PD_TRINITY_DN662_c2_g3_i1.p1","CAI9740582.1",85.4,478,8.94e-305,839,0
"1198","OB1_PD_TRINITY_DN33913_c0_g1_i1.p1","CAI9731055.1",92.4,224,5.46e-152,440,0
"1199","OB1_PD_TRINITY_DN3971_c3_g1_i2.p1","XP_036359026.1",90.8,696,0,1244,0
"1200","OB1_PD_TRINITY_DN984_c0_g1_i1.p2","XP_036366037.1",97.2,1000,0,1950,0
"1201","OB1_PD_TRINITY_DN692_c5_g1_i1.p1","XP_052825848.1",100,646,0,1327,0
"1202","OB1_PD_TRINITY_DN43473_c0_g1_i1.p1","XP_052824382.1",100,248,4.72e-153,510,0
"1203","OB2_PD_TRINITY_DN4043_c0_g1_i1.p1","XP_014782853.1",100,526,0,1091,0
"1204","OB1_PD_TRINITY_DN82_c0_g2_i1.p1","XP_014774988.1",90.1,812,0,1500,0
"1205","OB1_PD_TRINITY_DN9108_c0_g1_i1.p1","XP_014783861.1",100,142,3.56e-100,294,0
"1206","OB1_PD_TRINITY_DN20590_c0_g1_i1.p1","XP_014770091.1",100,195,5.18e-137,391,0
"1207","OB1_PD_TRINITY_DN1091_c2_g1_i2.p1","XP_014781273.1",100,139,2.08e-102,299,0
"1208","OB1_PD_TRINITY_DN2689_c0_g1_i1.p1","XP_029644105.1",97.9,327,6.51e-240,662,0
"1209","OB1_PD_TRINITY_DN38392_c0_g1_i1.p1","XP_014778033.1",100,444,0,913,0
"1210","OB1_PD_TRINITY_DN1574_c6_g1_i2.p2","XP_014770566.1",99.8,537,0,1080,0
"1211","OB1_PD_TRINITY_DN32_c0_g1_i13.p1","XP_014771072.2",100,470,0,946,0
"1212","OB1_PD_TRINITY_DN4667_c0_g1_i1.p1","XP_029637843.1",91.4,440,2.1e-300,825,0
"1213","OB1_PD_TRINITY_DN2398_c0_g1_i1.p1","XP_029635494.1",94.4,755,0,1424,0
"1214","OB1_PD_TRINITY_DN35004_c0_g1_i1.p1","XP_014784464.1",100,141,4.69e-100,293,0
"1215","OB1_PD_TRINITY_DN7996_c0_g1_i2.p1","XP_052825878.1",100,265,1.59e-173,543,0
"1216","OB1_PD_TRINITY_DN1918_c0_g1_i2.p1","XP_014779739.1",99.7,308,7.06e-182,514,0
"1217","OB1_PD_TRINITY_DN63_c2_g1_i1.p1","XP_014780796.1",100,439,1.23000000015814e-314,861,0
"1218","OB1_PD_TRINITY_DN367_c0_g1_i2.p1","XP_014772668.1",100,274,6.71e-195,544,0
"1219","OB3_PD_TRINITY_DN2_c0_g2_i1.p1","CAI9724235.1",52.8,309,2.73e-105,320,0
"1220","OB1_PD_TRINITY_DN3210_c0_g1_i2.p1","XP_014778870.1",100,287,1.84e-194,544,0
"1221","OB1_PD_TRINITY_DN2501_c2_g1_i1.p1","CAI9718349.1",90.1,304,7.93e-193,541,0
"1222","OB1_PD_TRINITY_DN1955_c0_g1_i4.p1","XP_014782525.1",99.4,326,1.29e-225,626,0
"1223","OB1_PD_TRINITY_DN340_c0_g1_i2.p1","XP_014767620.1",100,747,0,1588,0
"1224","OB1_PD_TRINITY_DN2667_c0_g1_i1.p1","XP_014785201.1",100,371,3.73e-284,778,0
"1225","OB1_PD_TRINITY_DN5425_c0_g1_i2.p1","XP_014770347.1",100,313,5.52e-234,646,0
"1226","OB1_PD_TRINITY_DN226_c0_g1_i2.p1","CAI9715155.1",93.7,364,7.35e-267,734,0
"1227","OB1_PD_TRINITY_DN42775_c0_g1_i1.p1","XP_052821518.1",100,735,0,1489,0
"1228","OB1_PD_TRINITY_DN425_c0_g1_i4.p1","CAI9724267.1",86.6,247,2.18e-133,453,0
"1229","OB1_PD_TRINITY_DN251_c1_g2_i3.p1","XP_014781656.1",100,213,9.95e-153,432,0
"1230","OB1_PD_TRINITY_DN1098_c0_g1_i1.p1","XP_014767624.1",100,775,0,1697,0
"1231","OB1_PD_TRINITY_DN340_c0_g1_i1.p1","XP_014767620.1",100,878,0,1867,0
"1232","OB2_PD_TRINITY_DN11612_c0_g1_i1.p1","CAI9744326.1",52.9,238,1.33e-84,263,0
"1233","OB1_PD_TRINITY_DN4260_c1_g3_i1.p1","XP_014782301.1",100,486,0,1026,0
"1234","OB1_PD_TRINITY_DN11132_c1_g1_i3.p1","XP_014784266.1",100,205,1.17e-147,419,0
"1235","OB1_PD_TRINITY_DN648_c0_g1_i1.p1","CAI9726243.1",98,497,0,1011,0
"1236","OB1_PD_TRINITY_DN43003_c0_g1_i1.p1","XP_029635952.1",94.3,297,5.2e-215,597,0
"1237","OB1_PD_TRINITY_DN24603_c0_g1_i1.p1","XP_014782571.1",100,497,0,1014,0
"1238","OB3_PD_TRINITY_DN765_c0_g1_i2.p1","CAI9730649.1",61.8,283,2.27e-104,317,0
"1239","OB1_PD_TRINITY_DN7101_c1_g1_i5.p1","CAI9715171.1",93.3,691,0,1240,0
"1240","OB1_PD_TRINITY_DN218_c0_g2_i1.p1","XP_014790454.1",54.8,310,1.62e-105,321,0
"1241","OB1_PD_TRINITY_DN639_c0_g1_i4.p1","XP_014770986.1",100,315,5e-229,635,0
"1242","OB1_PD_TRINITY_DN1704_c0_g1_i1.p1","XP_029641498.1",96.7,780,0,1575,0
"1243","OB1_PD_TRINITY_DN5579_c1_g1_i2.p1","XP_014786701.1",100,272,1.94e-202,563,0
"1244","OB1_PD_TRINITY_DN5579_c1_g1_i1.p1","XP_014786693.1",100,297,1.24e-222,616,0
"1245","OB1_PD_TRINITY_DN62_c21_g1_i1.p1","XP_029645212.1",97.5,402,1.4e-297,815,0
"1246","OB2_PD_TRINITY_DN1_c0_g2_i1.p1","XP_014788672.1",100,409,1.82e-294,808,0
"1247","OB1_PD_TRINITY_DN3243_c1_g1_i3.p1","XP_014777241.1",100,136,6.76e-93,275,0
"1248","OB1_PD_TRINITY_DN871_c14_g1_i1.p1","XP_052833195.1",100,271,2.75e-197,550,0
"1249","OB1_PD_TRINITY_DN4568_c2_g1_i1.p1","XP_014780681.1",100,127,1.11e-89,266,0
"1250","OB1_PD_TRINITY_DN13992_c0_g1_i2.p1","XP_052821586.1",99.7,356,7.8e-262,722,0
"1251","OB1_PD_TRINITY_DN6122_c0_g1_i1.p1","XP_052821835.1",88.8,519,2.77e-296,820,0
"1252","OB1_PD_TRINITY_DN611_c0_g1_i6.p2","XP_052822282.1",100,192,3.67e-127,399,0
"1253","OB1_PD_TRINITY_DN2974_c0_g1_i2.p1","XP_014779043.1",100,495,0,1030,0
"1254","OB1_PD_TRINITY_DN2974_c0_g1_i1.p1","XP_014779043.1",100,315,1.39e-234,655,0
"1255","OB1_PD_TRINITY_DN1947_c0_g1_i4.p1","XP_029641946.1",95.9,755,0,1503,0
"1256","OB1_PD_TRINITY_DN1924_c0_g1_i8.p1","XP_014771926.1",100,208,2.85e-149,426,0
"1257","OB1_PD_TRINITY_DN639_c0_g1_i2.p1","XP_014770992.1",96.9,350,1.19e-249,689,0
"1258","OB1_PD_TRINITY_DN25727_c0_g1_i1.p1","XP_014782418.1",99.5,203,2.28e-153,433,0
"1259","OB1_PD_TRINITY_DN187_c0_g1_i2.p1","CAI9744251.1",82,206,6.99e-74,233,0
"1260","OB1_PD_TRINITY_DN1829_c0_g1_i1.p1","XP_029647574.1",96.7,492,0,1056,0
"1261","OB1_PD_TRINITY_DN25134_c0_g1_i1.p1","XP_014777911.1",100,129,4.86e-86,259,0
"1262","OB1_PD_TRINITY_DN7315_c0_g2_i1.p1","XP_014772671.1",100,270,5.13e-197,549,0
"1263","OB1_PD_TRINITY_DN231_c0_g2_i2.p1","CAI9734988.1",74.3,222,5.8e-122,355,0
"1264","OB3_PD_TRINITY_DN57_c0_g1_i1.p1","CAI9734988.1",80.2,222,5.1e-132,381,0
"1265","OB1_PD_TRINITY_DN1245_c0_g1_i1.p1","XP_052833143.1",100,414,4.43e-307,840,0
"1266","OB1_PD_TRINITY_DN3274_c0_g1_i2.p1","XP_029642525.1",91.5,459,3.12e-299,823,0
"1267","OB1_PD_TRINITY_DN9205_c0_g1_i1.p1","XP_014781232.1",100,679,0,1399,0
"1268","OB1_PD_TRINITY_DN7089_c0_g1_i1.p1","XP_029651218.1",87.9,314,5.35e-196,550,0
"1269","OB1_PD_TRINITY_DN493_c0_g2_i1.p1","CAI9733777.1",95.9,367,3.65e-262,722,0
"1270","OB2_PD_TRINITY_DN12501_c0_g1_i1.p1","XP_029645037.1",90.8,195,8.49e-126,363,0
"1271","OB1_PD_TRINITY_DN7234_c2_g1_i2.p1","CAI9740314.1",96.8,218,8.52e-161,453,0
"1272","OB1_PD_TRINITY_DN523_c0_g2_i1.p1","XP_014787706.1",100,112,1.96e-42,145,0
"1273","OB1_PD_TRINITY_DN14043_c0_g1_i1.p1","XP_014785500.1",100,734,0,1533,0
"1274","OB1_PD_TRINITY_DN3449_c0_g1_i1.p1","CAI9740923.1",73,434,7.66e-217,613,0
"1275","OB1_PD_TRINITY_DN18320_c0_g1_i1.p1","XP_029635129.1",96.3,160,3.96e-99,293,0
"1276","OB1_PD_TRINITY_DN662_c9_g3_i1.p1","XP_014776750.1",100,256,5.29e-183,513,0
"1277","OB1_PD_TRINITY_DN1354_c0_g1_i2.p1","XP_014784364.1",100,214,1.36e-155,440,0
"1278","OB2_PD_TRINITY_DN221_c0_g1_i3.p1","CAI9734988.1",77.9,222,3.83e-127,369,0
"1279","OB1_PD_TRINITY_DN1032_c0_g1_i1.p1","XP_014772669.1",100,259,2.25e-190,531,0
"1280","OB1_PD_TRINITY_DN44914_c0_g1_i1.p1","XP_029650646.1",89.8,256,3.02e-173,488,0
"1281","OB1_PD_TRINITY_DN31_c0_g1_i2.p1","XP_029651018.1",88.7,256,6.72e-164,464,0
"1282","OB1_PD_TRINITY_DN271_c29_g1_i1.p1","CAI9740900.1",61,223,1.37e-92,281,0
"1283","OB1_PD_TRINITY_DN410_c4_g1_i7.p1","XP_014770445.1",100,258,1.41e-188,527,0
"1284","OB1_PD_TRINITY_DN10_c0_g1_i1.p1","XP_052831460.1",100,268,1.26e-196,548,0
"1285","OB1_PD_TRINITY_DN8678_c0_g1_i1.p1","XP_029643127.1",72.2,194,5.27e-101,302,0
"1286","OB1_PD_TRINITY_DN1112_c0_g1_i1.p1","XP_036370901.1",86.6,388,4.8e-253,701,0
"1287","OB3_PD_TRINITY_DN400_c0_g1_i1.p1","XP_029650957.1",92.9,254,2.12e-178,501,0
"1288","OB2_PD_TRINITY_DN396_c0_g1_i1.p1","XP_014776351.1",100,254,3.32e-185,518,0
"1289","OB1_PD_TRINITY_DN5626_c0_g1_i3.p1","XP_029634984.2",94.8,427,3.62e-289,823,0
"1290","OB1_PD_TRINITY_DN24333_c0_g1_i1.p1","XP_014791103.1",100,259,1.42e-193,540,0
"1291","OB1_PD_TRINITY_DN1041_c0_g5_i1.p1","XP_014769409.1",100,258,1.24e-195,545,0
"1292","OB1_PD_TRINITY_DN1825_c1_g2_i1.p1","XP_014780657.1",100,388,1.05e-294,806,0
"1293","OB1_PD_TRINITY_DN588_c2_g1_i12.p1","XP_052826862.1",99.7,330,1.77e-248,689,0
"1294","OB1_PD_TRINITY_DN36_c0_g1_i3.p1","CAI9740508.1",87.9,140,2.12e-76,250,0
"1295","OB1_PD_TRINITY_DN3623_c0_g1_i1.p1","XP_014780847.1",100,153,3.2e-115,333,0
"1296","OB3_PD_TRINITY_DN6053_c1_g1_i1.p1","XP_029652331.1",76.1,67,1.8e-26,108,0
"1297","OB1_PD_TRINITY_DN25241_c0_g1_i1.p1","XP_029643060.1",74.9,203,1.5e-108,320,0
"1298","OB1_PD_TRINITY_DN1693_c0_g1_i2.p1","XP_029652139.1",95.6,319,1.91e-228,633,0
"1299","OB1_PD_TRINITY_DN6675_c0_g1_i2.p1","XP_014778618.1",100,379,6.31e-296,808,0
"1300","OB1_PD_TRINITY_DN4649_c0_g1_i3.p1","XP_014772729.1",100,162,6.27e-46,160,0
"1301","OB1_PD_TRINITY_DN2340_c0_g1_i1.p1","XP_029656793.1",96.5,229,2.23e-157,446,0
"1302","OB3_PD_TRINITY_DN60_c0_g1_i10.p1","CAI9740754.1",78.4,255,6.47e-147,421,0
"1303","OB2_PD_TRINITY_DN601_c0_g1_i1.p1","CAI9715378.1",99.2,119,7.11e-46,155,0
"1304","OB1_PD_TRINITY_DN2147_c0_g1_i2.p1","XP_014789945.1",100,66,6.94e-39,141,0
"1305","OB1_PD_TRINITY_DN31773_c0_g1_i1.p1","CAI9737237.1",98.2,114,5.05e-63,198,0
"1306","OB2_PD_TRINITY_DN27_c0_g2_i1.p1","XP_014772730.1",100,145,3.08e-45,155,0
"1307","OB1_PD_TRINITY_DN802_c0_g1_i1.p1","CAI9741102.1",96.3,189,7.99e-129,370,0
"1308","OB1_PD_TRINITY_DN201_c0_g4_i4.p1","CAI9734619.1",100,112,2.14e-81,247,0
"1309","OB3_PD_TRINITY_DN140_c0_g1_i18.p1","XP_052822702.1",100,67,2.93e-35,142,0
"1310","OB1_PD_TRINITY_DN2526_c2_g1_i1.p1","XP_014773703.1",100,299,9.08e-226,624,0
"1311","OB3_PD_TRINITY_DN12149_c0_g1_i1.p1","XP_014767927.1",100,241,1.28e-163,464,0
"1312","OB1_PD_TRINITY_DN1906_c1_g1_i2.p1","XP_014780041.1",99.3,146,7.68e-97,286,0
"1313","OK1_PD_TRINITY_DN5780_c2_g1_i1.p1","XP_014781241.1",87,345,3.38e-226,629,0
"1314","OK1_PD_TRINITY_DN5780_c2_g1_i2.p1","XP_014781241.1",75.1,345,1.15e-182,517,0
"1315","OK1_PD_TRINITY_DN968_c0_g1_i6.p1","XP_029647967.1",83.3,412,1.93e-243,679,0
"1316","OK1_PD_TRINITY_DN968_c0_g1_i8.p1","XP_029647967.1",84,412,2.88e-245,683,0
"1317","OK1_PD_TRINITY_DN968_c0_g1_i11.p1","XP_029647967.1",83.3,412,3.9e-243,678,0
"1318","OK1_PD_TRINITY_DN199_c0_g1_i4.p1","XP_052832783.1",93.6,328,5.35e-216,605,0
"1319","OK1_PD_TRINITY_DN199_c0_g1_i2.p1","CAI9740978.1",91.4,325,2.87e-217,605,0
"1320","OK1_PD_TRINITY_DN486_c0_g1_i2.p1","XP_014770381.1",83.9,322,6.07e-190,536,0
"1321","OK1_PD_TRINITY_DN4_c0_g2_i11.p1","XP_029654299.1",65.1,415,1.89e-173,506,0
"1322","OK1_PD_TRINITY_DN4_c0_g2_i6.p1","XP_029654299.1",65.1,415,1.05e-172,506,0
"1323","OK1_PD_TRINITY_DN46_c0_g1_i1.p1","XP_036363359.1",58.9,630,4.43e-271,791,0
"1324","OK1_PD_TRINITY_DN4_c0_g2_i9.p1","XP_029654299.1",75.3,417,2.96e-202,581,0
"1325","OK1_PD_TRINITY_DN4_c0_g2_i3.p1","XP_029654299.1",74.8,421,9.81e-202,580,0
"1326","OK1_PD_TRINITY_DN3563_c0_g2_i2.p1","XP_014769053.1",66.5,185,2.19e-88,268,0
"1327","OK1_PD_TRINITY_DN69_c0_g1_i1.p1","ACJ22647.1",97.6,254,1.35e-184,516,0
"1328","OK1_PD_TRINITY_DN10_c0_g1_i4.p1","XP_014782044.1",86.7,255,5.8e-166,469,0
"1329","OK1_PD_TRINITY_DN174_c0_g1_i1.p1","ACJ22649.1",100,255,3.33e-190,531,0
"1330","OK1_PD_TRINITY_DN569_c0_g1_i7.p1","ACJ22648.1",98.6,218,2.38e-157,446,0
"1331","OK1_PD_TRINITY_DN3540_c0_g2_i2.p1","XP_029651661.2",91.1,214,1.34e-122,381,0
"1332","OK1_PD_TRINITY_DN11359_c0_g1_i1.p1","CAI9731162.1",80.7,259,4.78e-153,437,0
"1333","OK1_PD_TRINITY_DN10_c0_g1_i13.p1","XP_014782044.1",78,255,2.03e-150,430,0
"1334","OK1_PD_TRINITY_DN145_c2_g1_i1.p1","XP_014770445.1",75.2,254,8.97e-143,411,0
"1335","OK1_PD_TRINITY_DN893_c0_g2_i3.p1","XP_029650957.1",86.5,260,1.08e-168,477,0
"1336","OK1_PD_TRINITY_DN10_c0_g1_i16.p1","ACJ22642.1",97.1,245,2.35e-174,490,0
"1337","OK1_PD_TRINITY_DN69_c0_g1_i2.p1","ACJ22646.1",97.6,254,1.11e-183,514,0
"1338","OK1_PD_TRINITY_DN376_c1_g1_i1.p1","CAI9740900.1",48.9,229,5.13e-73,232,0
"1339","OK1_PD_TRINITY_DN2053_c0_g1_i1.p1","XP_014780833.1",62.1,153,2.2e-71,222,0
"1340","OK1_PD_TRINITY_DN28430_c0_g1_i2.p1","XP_029650646.1",59.8,256,8.86e-105,315,0
"1341","OK1_PD_TRINITY_DN29_c0_g1_i3.p1","ACJ22643.1",97.6,253,1.03e-181,509,0
"1342","OK1_PD_TRINITY_DN29_c0_g1_i1.p1","ACJ22643.1",98.8,253,8.81e-185,517,0
"1343","OK1_PD_TRINITY_DN29_c0_g1_i2.p1","XP_029654766.1",83.9,255,4.21e-157,447,0
"1344","OK1_PD_TRINITY_DN32396_c0_g1_i2.p1","CAI9741102.1",86.8,189,2.17e-117,341,0
"1345","OK1_PD_TRINITY_DN15858_c0_g1_i1.p1","XP_014768645.1",82,284,3.44e-177,500,0
"1346","OK1_PD_TRINITY_DN655_c0_g1_i9.p1","XP_014784832.1",84.7,255,4.56e-160,455,0
"1347","OK1_PD_TRINITY_DN395_c0_g1_i1.p1","ACJ22639.1",99.6,257,9.85e-193,538,0
"1348","OK1_PD_TRINITY_DN22_c0_g2_i7.p1","ACJ22645.1",99.6,264,5.79e-200,556,0
"1349","OK1_PD_TRINITY_DN496_c0_g1_i1.p1","XP_052833195.1",77.6,255,1.74e-142,411,0
"1350","OK1_PD_TRINITY_DN443_c0_g1_i1.p1","XP_014772670.1",76.9,350,6.9e-196,553,0
"1351","OK1_PD_TRINITY_DN1717_c0_g1_i6.p1","XP_029645037.1",48.6,181,6.8e-52,176,0
"1352","OK1_PD_TRINITY_DN131_c0_g1_i1.p1","CAI9731161.1",79.3,275,9.17e-159,453,0
"1353","OK1_PD_TRINITY_DN1017_c0_g1_i1.p1","XP_029645037.1",87.7,195,1.11e-119,348,0
"1354","OK1_PD_TRINITY_DN340_c0_g1_i1.p1","XP_029643765.1",85.6,270,1.06e-166,473,0
"1355","OK1_PD_TRINITY_DN1544_c1_g2_i1.p1","ACJ22640.1",100,205,3.74e-149,426,0
"1356","OK1_PD_TRINITY_DN51_c0_g1_i1.p1","CAI9743040.1",74.7,237,8.9e-136,392,0
"1357","OK1_PD_TRINITY_DN19536_c0_g1_i1.p1","XP_014771924.1",94,300,6.11e-220,610,0
"1358","OK1_PD_TRINITY_DN395_c0_g1_i4.p1","ACJ22639.1",99.5,206,1.87e-150,429,0
"1359","OK1_PD_TRINITY_DN28430_c0_g1_i1.p1","XP_029650646.1",58.6,157,4.03e-56,187,0
"1360","OK1_PD_TRINITY_DN576_c0_g1_i2.p1","XP_014784363.1",94.7,243,3.55e-171,482,0
"1361","OK1_PD_TRINITY_DN576_c0_g1_i1.p1","XP_014784363.1",87.1,263,1.72e-165,468,0
"1362","OK1_PD_TRINITY_DN3444_c0_g1_i9.p1","XP_014768745.1",76.7,1228,0,1921,0
"1363","OK1_PD_TRINITY_DN3444_c0_g1_i10.p1","XP_014768745.1",78.6,1228,0,1990,0
"1364","OK1_PD_TRINITY_DN19628_c0_g1_i1.p1","XP_014774988.1",80.3,811,0,1405,0
"1365","OK1_PD_TRINITY_DN82_c0_g1_i2.p1","CAI9730649.1",49.1,291,1.95e-82,261,0
"1366","OK1_PD_TRINITY_DN2462_c0_g5_i1.p1","XP_029635418.1",83.4,373,1.95e-246,683,0
"1367","OK1_PD_TRINITY_DN2462_c0_g5_i3.p1","CAI9715155.1",83.5,364,1.71e-240,667,0
"1368","OK1_PD_TRINITY_DN2462_c0_g5_i2.p1","CAI9715155.1",80.4,378,4.75e-237,659,0
"1369","OK1_PD_TRINITY_DN1726_c0_g1_i2.p1","XP_029636121.1",90.5,189,2.91e-133,389,0
"1370","OK1_PD_TRINITY_DN229_c0_g2_i11.p1","CAI9740508.1",73.6,144,4.66e-65,221,0
"1371","OK1_PD_TRINITY_DN25800_c0_g1_i1.p1","XP_014791103.1",75.6,258,6.94e-138,399,0
"1372","OK1_PD_TRINITY_DN395_c0_g1_i8.p1","ACJ22639.1",100,113,1.76e-74,233,0
"1373","OK1_PD_TRINITY_DN19527_c0_g1_i1.p1","XP_052828401.1",71.6,352,7.23e-176,503,0
"1374","OK1_PD_TRINITY_DN33_c2_g1_i8.p1","XP_052829860.1",77.1,131,5.67e-73,227,0
"1375","OK1_PD_TRINITY_DN3444_c0_g1_i8.p1","XP_014768745.1",66.5,1228,0,1620,0
"1376","OK1_PD_TRINITY_DN508_c0_g1_i1.p1","XP_014772368.1",73.7,137,9.92e-71,219,0
"1377","OK1_PD_TRINITY_DN508_c0_g1_i2.p1","XP_014772368.1",69.2,146,1.58e-67,212,0
"1378","OK1_PD_TRINITY_DN11137_c0_g1_i1.p1","XP_014784997.1",80.9,371,2.37e-214,602,0
"1379","OK1_PD_TRINITY_DN1220_c0_g1_i2.p1","XP_014789945.1",65.1,63,3.72e-21,95.9,0
"1380","OK1_PD_TRINITY_DN82_c0_g1_i1.p1","CAI9730649.1",41.6,226,7.58e-38,144,0
"1381","OK1_PD_TRINITY_DN221_c1_g1_i1.p1","XP_014785199.1",96.4,361,2.99e-201,572,0
"1382","OK1_PD_TRINITY_DN97_c0_g1_i7.p2","CAI9744251.1",72.3,202,1.53e-54,184,0
"1383","OK1_PD_TRINITY_DN111_c0_g1_i3.p1","XP_014781238.1",83.9,397,3.06e-251,698,0
"1384","OK1_PD_TRINITY_DN312_c0_g1_i2.p1","XP_014781480.1",86.4,257,1.41e-98,299,0
"1385","OK1_PD_TRINITY_DN26_c0_g1_i1.p1","CAI9724267.1",71.5,249,6.12e-101,363,0
